Number,Question,A,B,C,D,Answer,Subject,correct,prediction
144,"Bir işçi 6 saatte 90 birim iş yapıyorsa, aynı hızla çalışarak 10 saatte kaç birim iş yapar?",150 birim,140 birim,160 birim,130 birim,A,numeric_reasoning,True,A
145,"Bir dikdörtgenin alanı 48 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?",8 cm,7 cm,6 cm,9 cm,A,numeric_reasoning,True,A
146,"Bir arabada 5 litre benzin vardır. Bu araba 1 litre benzin ile 12 km yol gidiyorsa, toplam kaç km yol gidebilir?",60 km,70 km,50 km,80 km,A,numeric_reasoning,False,D
147,"Bir kişi günde 8 saat çalışarak bir işi 15 günde bitiriyorsa, aynı işi günde 6 saat çalışarak kaç günde bitirir?",20 gün,18 gün,22 gün,25 gün,A,numeric_reasoning,True,A
148,"Bir su deposu dakikada 4 litre su ile doluyorsa, 2 saatte kaç litre su dolar?",480 litre,450 litre,500 litre,400 litre,A,numeric_reasoning,True,A
149,"Bir bisikletçi 3 saatte 45 km yol gidiyorsa, 5 saatte kaç km yol gider?",75 km,70 km,80 km,65 km,A,numeric_reasoning,True,A
150,"Bir markette 6 TL olan bir ürün %10 zamlanırsa, yeni fiyatı kaç TL olur?",6.6 TL,6.5 TL,7 TL,6.8 TL,A,numeric_reasoning,False,D
151,Bir saatin %20'si kaç dakikadır?,12 dakika,15 dakika,18 dakika,24 dakika,A,numeric_reasoning,False,D
152,"Bir sayının %40'ı 50 ise, bu sayının %60'ı kaçtır?",75,70,80,65,A,numeric_reasoning,False,D
153,"Bir dikdörtgenin alanı 72 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?",9 cm,10 cm,12 cm,8 cm,C,numeric_reasoning,True,C
154,"Bir tarlada 500 kg buğday üretiliyor. Bu tarlada %20 daha fazla buğday üretilseydi, kaç kg buğday üretilirdi?",500 kg,550 kg,600 kg,700 kg,C,numeric_reasoning,False,D
155,Bir kitapçıda %25 indirimle 120 TL'ye satılan bir kitabın indirimsiz fiyatı kaç TL'dir?,160 TL,150 TL,140 TL,180 TL,A,numeric_reasoning,False,D
156,"Bir sayının küpü 27 ise, bu sayı kaçtır?",3,9,27,1,A,mathematics,False,C
157,(2^3).(2^2) işleminin sonucu nedir?,16,8,32,4,C,mathematics,True,C
158,"Bir dik üçgende hipotenüsün uzunluğu 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?",4 cm,8 cm,5 cm,3 cm,B,mathematics,True,B
159,"Bir dikdörtgenin uzun kenarı 12 cm, kısa kenarı 5 cm ise, dikdörtgenin çevresi kaç cm'dir?",34 cm,30 cm,24 cm,40 cm,A,mathematics,True,A
160,(3/4) + (2/3) işleminin sonucu nedir?,17/12,5/7,6/7,5/12,A,mathematics,True,A
161,"Bir çemberin çapı 14 cm ise, yarıçapı kaç cm'dir?",7 cm,14 cm,28 cm,21 cm,A,mathematics,True,A
162,(x^2) - 4 = 0 denkleminin kökleri nelerdir?,2 ve -2,4 ve -4,2 ve 4,-2 ve 4,A,mathematics,True,A
163,"Bir sayının %25'i 50 ise, bu sayı kaçtır?",200,150,250,400,A,mathematics,False,D
164,5x + 3 = 23 denkleminin çözümü nedir?,4,5,3,6,A,mathematics,True,A
165,"Bir üçgenin kenar uzunlukları 7 cm, 24 cm ve 25 cm ise, bu üçgenin çeşidi nedir?",Dik üçgen,Eşkenar üçgen,İkizkenar üçgen,Çeşitkenar üçgen,A,mathematics,False,D
166,Bir dikdörtgen prizmanın hacmi nasıl hesaplanır?,Uzunluk * Genişlik * Yükseklik,Uzunluk + Genişlik + Yükseklik,Uzunluk * Genişlik,Genişlik * Yükseklik,A,mathematics,True,A
167,"Bir aritmetik dizide ilk terim 4, ortak fark 6 ise, dördüncü terim kaçtır?",16,18,22,26,C,mathematics,False,D
168,Bir kenar uzunluğu 5 cm olan karenin alanı kaç cm²'dir?,25 cm²,20 cm²,30 cm²,15 cm²,A,mathematics,True,A
169,Bir sayı 12'nin 3 katından 5 eksiktir. Bu sayı kaçtır?,31,35,36,29,A,mathematics,False,X
170,"Bir dik üçgenin bir dik kenarı 9 cm, diğer dik kenarı 12 cm ise, hipotenüsü kaç cm'dir?",15 cm,16 cm,13 cm,10 cm,A,mathematics,False,C
171,"Bir küpün içinden çapı küpün kenar uzunluğuna eşit olan bir küre oyulursa, kalan hacim küpün hacminin kaçta kaçı olur?",1/6, 7/8,2/3,5/6,B,hard_geometry,False,D
172,"Bir dik üçgende hipotenüs 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?",4 cm,5 cm,8 cm,√16 cm,C,hard_geometry,True,C
173,Bir düzgün beşgenin bir iç açısı kaç derecedir?,108 derece,120 derece,135 derece,144 derece,A,hard_geometry,False,X
174,"Bir koninin yüksekliği ve taban çapı eşit olup her biri 12 cm ise, koninin hacmi kaç cm³'tür? (π = 3 alınız)",432 cm³,864 cm³,1728 cm³,108 cm³,A,hard_geometry,False,C
175,"Bir elipsin büyük eksen uzunluğu 10 cm ve küçük eksen uzunluğu 8 cm ise, elipsin alanı kaç cm²'dir? (π = 3.14 alınız)",40 cm²,80 cm²,20 cm²,62.8 cm²,D,hard_geometry,True,D
176,"Bir düzgün dodekahedronun (12 yüzlü çokgen) bir yüzünün alanı 25 cm² ise, toplam yüzey alanı kaç cm²'dir?",250 cm²,300 cm²,400 cm²,500 cm²,B,hard_geometry,True,B
177,"Bir kürenin yüzey alanı 144π cm² ise, yarıçapı kaç cm'dir?",6 cm,12 cm,8 cm,10 cm,A,hard_geometry,False,B
178,"Bir dört yüzlü piramidin (tetrahedron) hacmi 24 cm³ ve taban alanı 8 cm² ise, yüksekliği kaç cm'dir?",9 cm,6 cm,3 cm,4 cm,A,hard_geometry,True,A
179,"Bir küre diliminin hacmi, kürenin hacminin 1/4 üdür. Bu küre diliminin merkezi açısı kaç derecedir?",30 derece,45 derece,60 derece,90 derece,D,hard_geometry,False,C
180,"Bir prizmanın taban alanı 20 cm², yüksekliği 15 cm ve yanal yüzey alanı 300 cm² ise, prizmanın toplam yüzey alanı kaç cm²'dir?",400 cm²,600 cm²,340 cm²,500 cm²,C,hard_geometry,False,B
181,Bir matrisin determinantı nasıl hesaplanır?,Sadece köşegen elemanların çarpımı,Satır ve sütunların toplamı,Laplace açılımı ile,Tüm elemanların toplamı,C,hard_mathematics,True,C
182,f(x) = x^3 - 3x + 2 fonksiyonunun kritik noktaları nelerdir?,"1, -1","1, 2","0, 1","-1, 2",A,hard_mathematics,True,A
183,Bir doğrusal denklemler sisteminde 3x + 2y = 5 ve 4x - y = 6 denklemlerinin çözüm kümesi nedir?,"x=1/2,y=3/4","x=3/5,y=−1/2","x=2/3,y=1/4","x=17/11,y=2/11",D,hard_mathematics,False,X
184,Bir matrisin tersinin var olup olmadığını belirleyen ifade nedir?,Determinantı 0 ise tersi vardır,Determinantı 0 değilse tersi vardır,Transpozu simetrikse tersi vardır,Köşegen elemanlar pozitifse tersi vardır,B,hard_mathematics,True,B
185,f(x) = x^3 - 6x^2 + 9x + 1 fonksiyonunun yerel minimum noktası nedir?,x = 1,x = 2,x = 3,x = 0,C,hard_mathematics,False,A
186,Bir üçgenin iki kenarının uzunluğu 5 cm ve 7 cm'dir. Üçüncü kenarın uzunluğu için aşağıdakilerden hangisi doğrudur?,2 cm ile 12 cm arasında,1 cm ile 11 cm arasında,3 cm ile 13 cm arasında,0 cm ile 10 cm arasında,A,hard_mathematics,False,B
187,e^{x^2} fonksiyonunun türevi nedir?,2xe^{x^2},x e^{x},e^{x^2},2x e^{2x},A,hard_mathematics,True,A
188, ∫sin(x)dx integrali nedir?,-cos(x) + C ,sin(x) + C,cos(x) + C,-sin(x) + C,A,hard_mathematics,True,A
189,d/dx(x^2.ln(x)) nedir?,(2x.ln⁡(x)) + x^2,(2x.ln(x)) + x,(x.ln(x)) + 2x,(x^2).ln(x),B,hard_mathematics,False,A
190,"Bir kümenin alt kümelerinin sayısı 256 ise, bu küme kaç elemanlıdır?",7,8,9,10,B,hard_mathematics,True,B
191,"Bir kürenin yüzey alanı, aynı yarıçapa sahip bir silindirin yanal yüzey alanına eşittir. Bu kürenin hacmi 36π cm³ ise, silindirin yüksekliği kaç cm'dir?",6 cm,4 cm,3 cm,2 cm,A,hard_mathematics,True,A
192,"Bir kürenin yüzey alanı 36π cm² ise, kürenin hacmi nedir?",36π cm³,48π cm³,72π cm³,64π cm³,A,hard_mathematics,True,A
193,d/dx​(1/x​) nedir?,−(1/(x^2)),1/(x^2),2/(x^2),-(2/(x^2)),A,hard_mathematics,True,A
194,Bir parabolün tepe noktası nasıl bulunur?,-b/2a, b/2a,-b/a,b/a,A,hard_mathematics,True,A
195,Bir kürenin hacmi 500π cm³ ise yüzey alanı yaklaşık kaç cm²'dir?,542 cm²,138π cm²,176π cm²,208π cm²,D,hard_mathematics,False,C
196,Bir kompleks sayının modülü nedir?,Gerçek kısmı,İmajiner kısmı,Karesi,Mutlak değeri,D,hard_mathematics,True,D
197,"Bir matrisin determinantı sıfırsa, matris ne türdür?",Terslenebilir,Terslenemez,Simetrik,Ortogonal,B,hard_mathematics,True,B
198,∫x(e^x)dx integrali nedir?,(e^x).(x-1) + C,e^x - (x.(e^x)) + C,(x.(e^x)) + e^x + C,e^x + (x.(e^x)) + C,A,hard_mathematics,False,D
199,Bir doğru parçasının orta noktasının koordinatları nasıl bulunur?,"(x_1 + x_2)/2, (y_1 + y_2)/2","(x_1 - x_2)/2, (y_1 - y_2)/2","(x_1 + x_2), (y_1 + y_2)","(x_1 + x_2)/2, (y_1 + y_2)",A,hard_mathematics,True,A
200,"Bir çemberin merkez açısının ölçüsü 60 derece ise, bu açıya karşılık gelen yay uzunluğu nedir? (r = 10 cm, π = 3.14 alınız)",10.47 cm,6.28 cm,5.24 cm,20.94 cm,A,hard_mathematics,False,D
201,√(-4)^2 işleminin sonucu nedir?,-4,4,16,-16,B,hard_mathematics,True,B
202,Bir üçgenin alanı taban uzunluğu ve yüksekliği ile nasıl hesaplanır?,Taban.Yükseklik,(Taban.Yükseklik)/2,(Taban + Yükseklik)/2,Taban + Yükseklik,B,hard_mathematics,True,B
203,Bir doğal logaritma fonksiyonunun türevi nedir?,1/x,1/(ln(x)),ln(x),ln(x^2),A,hard_mathematics,False,C
204,Bir türev fonksiyonunun integrali nedir?,Orijinal fonksiyon,Türev fonksiyonu,Sabit bir değer,Sıfır,A,hard_mathematics,True,A
205,Bir üçgenin kenarları arasındaki ilişkiyi ifade eden kural nedir?,Pisagor teoremi,Üçgen eşitsizliği,Sinüs teoremi,Kosinüs teoremi,B,hard_mathematics,False,D
206,"Bir üçgenin çevresi 24 cm, bir kenarı 8 cm ise, diğer iki kenarın toplamı kaç cm'dir?",8 cm,16 cm,12 cm,20 cm,B,hard_mathematics,True,B
207,"Bir küpün içinden çapı küpün kenar uzunluğuna eşit olan bir küre oyulursa, kalan hacim küpün hacminin kaçta kaçı olur?",1/6,7/8,2/3,5/6,B,hard_mathematics,False,D
208,Bir doğru ile bir eğri arasındaki en kısa mesafeyi bulmak için kullanılan yöntem nedir?,Lagrange Çarpanları Yöntemi,Newton Yöntemi,Türev Yöntemi,Taylor Serisi,A,hard_mathematics,False,C
209,Bir cisim 20 m/s hızla hareket ediyor. 5 saniye sonra hızı 30 m/s oluyor. Bu cismin ortalama ivmesi kaç m/s²'dir?,1,2,3,4,B,physics,False,C
210,Kütlesi 2 kg olan bir cisim 5 N'luk kuvvet ile itiliyor. Cismin ivmesi kaç m/s²'dir?,1,2,2.5,3,C,physics,False,X
211,Yerden 80 m yükseklikte bulunan bir cisim serbest bırakılıyor. Yer çekimi ivmesi 10 m/s² olduğuna göre cisim kaç saniye sonra yere ulaşır? (Hava direnci ihmal edilecektir.),2,3,4,5,C,physics,False,D
212,Bir elektrik devresinde 12 V'luk bir pil ve 4 Ω'luk bir direnç bulunmaktadır. Bu devredeki akım şiddeti kaç amperdir?,1,2,3,4,C,physics,False,A
213,Aşağıdakilerden hangisi bir vektörel büyüklük değildir?,Hız,Kuvvet,İvme,Kütle,D,physics,False,C
214,Bir araç 72 km/saat hızla gidiyor. Bu hız kaç m/s'ye eşittir?,10,15,20,25,C,physics,False,D
215,Eğik düzlem üzerindeki bir cismin hareketi için aşağıdakilerden hangisi yanlıştır?,Cismin ağırlığının bir bileşeni harekete karşı yönde etki eder,Sürtünme kuvveti ihmal edilirse cisim sabit ivmeli hareket yapar,Eğim açısı arttıkça cismin ivmesi azalır,Cismin normal kuvveti ağırlığından küçüktür,C,physics,True,C
216,Bir cismin momentumu 40 kg⋅m/s'dir. Bu cismin kütlesi 8 kg ise hızı kaç m/s'dir?,2,3,4,5,D,physics,True,D
217,Aşağıdakilerden hangisi Newton'un üçüncü hareket yasasının (etki-tepki prensibi) bir örneği değildir?,Roketin fırlatılması,Yürürken yere uyguladığımız kuvvet,Bir cismin serbest düşmesi,Çekiçle çiviye vurma,C,physics,False,B
218,"Bir transformatörün primer sargısında 220 V gerilim ve 2 A akım varken, sekonder sargısında 110 V gerilim ölçülüyor. Sekonder sargıdaki akım şiddeti kaç amperdir? (Kayıplar ihmal edilecektir.)",1,2,3,4,D,physics,True,D
219,"Bir astronot Dünya'nın yarıçapının 3 katı yükseklikte bir uzay istasyonunda görev yapmaktadır. Dünya yüzeyindeki yer çekimi ivmesi 9,8 m/s² olduğuna göre uzay istasyonundaki yer çekimi ivmesi kaç m/s²'dir?",0.61,1.09,2.18,3.27,A,physics,False,X
220,"Kapalı bir kapta bulunan ideal bir gazın basıncı 2 atm, sıcaklığı 300 K'dir. Gazın hacmi sabit tutularak sıcaklığı 450 K'e çıkarılırsa yeni basıncı kaç atm olur?",0.5,2,3,4.5,C,physics,True,C
221,Bir dalga kaynağı saniyede 10 dalga oluşturuyor ve dalgalar arası mesafe 2 metre ise dalganın yayılma hızı kaç m/s'dir?,5,10,20,40,C,physics,False,D
222,Bir Carnot ısı makinesi 400 K sıcaklıktaki bir ısı kaynağından aldığı ısının %25'ini işe dönüştürüyor. Makinenin soğuk rezervuarının sıcaklığı kaç K'dir?,300,200,375,250,A,physics,True,A
223,Yarı ömrü 5 gün olan radyoaktif bir maddenin başlangıçtaki miktarının dörtte birine düşmesi için gereken süre kaç gündür?,2.5,5,10,15,C,physics,False,A
224,Düzlem bir aynada cisimden aynaya olan uzaklık 30 cm ise cismin görüntüsü aynadan kaç metre uzaklıkta oluşur?,0.15,0.30,0.60,0.90,B,physics,True,B
225,Düzgün bir manyetik alan içinde dönen bir elektron için aşağıdaki bilgiler verilmiştir. Elektronun kütlesi: 9.1 × 10⁻³¹ kg Elektronun yükü: 1.6 × 10⁻¹⁹ C Manyetik alan şiddeti: 0.5 T Elektronun hızı: 2 × 10⁶ m/s Elektronun izlediği dairesel yörüngenin yarıçapı yaklaşık kaç micron'dur?,34,45,11,23,D,physics,False,C
226,Bir elektrik süpürgesinin gücü 1500 W çalışma gerilimi 220 V'tur. Bu elektrik süpürgesinin direnci yaklaşık kaç Ω'dur?,16,32,64,128,B,physics,False,X
227,Sürtünmesiz bir ortamda 5 kg buz parçasını tamamen suya dönüştürmek için gereken ısı enerjisi kaç kJ'dür? (Buzun erime ısısı 334 kJ/kg'dır.),334,835,1670,2505,C,physics,True,C
228,Bir proton ve bir elektron arasındaki elektriksel kuvvet F ise kütleleri ve aralarındaki uzaklık değişmeden yükleri 3 katına çıkarılırsa aralarındaki kuvvet kaç F olur?,3,6,9,27,C,physics,False,D
229,"Bir çocuk 2 metre uzunluğundaki bir tahterevallin ucuna oturuyor. Tahterevalin dengelenmesi için diğer uca kaç kg'lık bir çocuk oturmalıdır? (İlk çocuğun kütlesi 30 kg, tahterevalin ağırlık merkezi tam ortasındadır.)",10,15,20,30,D,physics,True,D
230,Bir ses kaynağı duran bir gözlemciye göre 20 m/s hızla yaklaşmaktadır. Sesin havadaki hızı 340 m/s ise gözlemcinin duyduğu sesin frekansı kaynak frekansının kaç katıdır? (Yaklaşık değeri veriniz.),1.06,1.12,0.94,1.24,A,physics,False,D
231,"Bir asansör 12 m yüksekliğindeki bir binada aşağıdaki gibi hareket ediyor: İlk 3 saniyede 1 m/s² ivme ile hızlanıyor. Sonraki 2 saniyede sabit hızla hareket ediyor. Son 3 saniyede 1 m/s² ivme ile yavaşlıyor. Buna göre: I. Asansörün maksimum hızı 3 m/s'dir. II. Asansör toplam 8 saniyede yolculuğunu tamamlar. III. Asansörün ortalama hızı 1,5 m/s'dir. Bu ifadelerden hangileri doğrudur?",I ve II,I ve III,II ve III,I ve II ve III,A,physics,False,X
232,“Which of the following is not found in prokaryotic cells?”,Ribosome,Cell membrane,Cytoplasm,Nucleus,D,biology,True,D
233,Bir DNA molekülünde adenin bazı sayısı toplam baz sayısının %30'unu oluşturuyor. Bu DNA molekülünde guanin bazı yüzdesi kaçtır?,20,30,40,50,A,biology,False,D
234,Aşağıdakilerden hangisi hemofili hastalığının özelliklerinden biri değildir?,X kromozomuna bağlı çekinik bir hastalıktır.,Kadınlarda erkeklere göre daha sık görülür.,Kanın pıhtılaşma yeteneğinin azalmasına neden olur.,Taşıyıcı anneden oğula geçebilir.,B,biology,False,D
235,İnsan vücudunda insulinin salgılandığı bez hangisidir?,Tiroid,Hipofiz,Pankreas,Böbreküstü,C,biology,True,C
236,Fotosentez sırasında gerçekleşen olayların doğru sıralaması aşağıdakilerden hangisidir? I. Glikoz üretimi II. ATP sentezi III. Suyun parçalanması IV. Elektronların uyarılması,III - IV - II - I,IV - III - II - I,III - II - IV - I,IV - II - III - I,B,biology,True,B
237,Bir popülasyonda AA genotipli bireylerin oranı 0.16 aa genotipli bireylerin oranı 0.36 ise bu popülasyonda A allelinin frekansı kaçtır?,0.2,0.4,0.6,0.8,B,biology,False,D
238,Aşağıdakilerden hangisi memelilere özgü bir özellik değildir?,İç döllenme,Akciğer solunumu,Homeostermi (sabit vücut sıcaklığı),Amniyotik yumurta,D,biology,True,D
239,Bir enzimin aktivitesini aşağıdakilerden hangisi artırmaz?,Substrat konsantrasyonunun artması,Optimum sıcaklığa ulaşılması,pH'ın optimum değere yaklaşması,İnhibitör madde eklenmesi,D,biology,True,D
240,Aşağıdaki organellerden hangisi hem bitki hem de hayvan hücrelerinde bulunur?,Kloroplast,Hücre duvarı,Sentrozom,Golgi aygıtı,D,biology,False,C
241,Bir ekosistemde enerji akışı ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,Enerji piramidinin tabanında üreticiler yer alır.,Bir üst trofik düzeye aktarılan enerji miktarı genellikle %10 civarındadır.,Enerji besin zinciri boyunca tek yönlü akar.,Ayrıştırıcılar enerji piramidinin en üst basamağında yer alır.,D,biology,True,D
242,Bir araştırmacı belirli bir bitki türünün çiçek rengini kontrol eden genler üzerinde çalışmaktadır. Kırmızı çiçekli (RR) bitkiler ile beyaz çiçekli (rr) bitkileri çaprazladığında tüm F1 dölü pembe çiçekli olmuştur. F1 dölünden iki bitki kendi aralarında çaprazlandığında elde edilen F2 dölünde aşağıdaki fenotipler gözlemlenmiştir: 30 kırmızı çiçekli bitki 60 pembe çiçekli bitki 30 beyaz çiçekli bitki gözlemlenmiştir. Bu veriler ışığında aşağıdaki ifadelerden hangileri doğrudur? I. Bu özellik için eksik baskınlık söz konusudur. II. F2 dölünde genotip oranları 1:2:1 şeklindedir. III. Pembe çiçekli bitkilerin genotipi heterozigottur. IV. F2 dölünde beyaz çiçekli bitki elde etme olasılığı 1/4'tür.,I ve II,I ve II ve III,II ve III ve IV,I ve II ve III ve IV,D,biology,True,D
243,Bir biyolog bir göldeki balık popülasyonunun büyüklüğünü tahmin etmek için işaretle-yeniden yakala yöntemini kullanıyor. İlk gün 200 balık yakalayıp işaretliyor ve göle geri bırakıyor. Bir hafta sonra 150 balık yakalıyor ve bunların 30'unun işaretli olduğunu görüyor. Bu verilere dayanarak: I. Göldeki toplam balık sayısı yaklaşık 1000'dir. II. İkinci yakalamada işaretli balık yakalama olasılığı 1/5'tir. III. Bu yöntem popülasyonun kapalı olduğunu ve işaretlemenin balıkların yakalanma olasılığını etkilemediğini varsayar. Yukarıdaki ifadelerden hangileri doğrudur?,Yalnız I,I ve II,II ve III,I ve II ve III,D,biology,True,D
244,Bir hücrede protein sentezi sırasında bir amino asit için kodon AUG antikodon UAC'dir. Bu amino asidin mRNA üzerindeki kodonu nedir?,AUG,UAC,CAU,GUA,A,biology,True,A
245,"Bir ekosistemde aşağıdaki besin zinciri gözlemlenmiştir: Ot → Çekirge → Kurbağa → Yılan → Kartal Bu besin zinciriyle ilgili aşağıdaki ifadelerden hangisi yanlıştır?""",Ot birincil üreticidir.,Kartal en yüksek trofik düzeydedir.,Yılan popülasyonundaki bir artış çekirge popülasyonunu doğrudan etkiler.,Kurbağa popülasyonundaki bir azalma ot miktarını artırabilir.,C,biology,True,C
246,Bir biyoteknoloji firması bir bakterinin genomuna yabancı bir gen yerleştirerek rekombinant DNA teknolojisini kullanmaktadır. Bu süreçte aşağıdaki adımların hangi sırayla gerçekleşmesi en uygundur? I. Bakterinin transformasyonu II. Rekombinant bakterilerin seçilmesi III. İstenen genin izole edilmesi IV. Genin bir vektöre yerleştirilmesi V. Rekombinant proteinin saflaştırılması,III - IV - I - II - V,I - III - IV - II - V,III - I - IV - II - V,IV - III - I - V - II,A,biology,False,B
247,Aşağıdaki bileşiklerden hangisinin molekül geometrisi üçgen piramit şeklindedir?,CH₄,NH₃,H₂O,BF₃,B,chemistry,False,C
248,"25°C'de 0,1 M HCl çözeltisinin pH'ı kaçtır?",0,1,2,3,B,chemistry,False,C
249,Kararlı bir atomun 3. enerji seviyesinde maksimum kaç elektron bulunabilir?,8,16,18,32,C,chemistry,False,B
250,Aşağıdaki maddelerden hangisi polar moleküldür?,CCl₄,CO₂,CH₄,H₂O,D,chemistry,True,D
251,Aşağıdakilerden hangisi bir amfoter bileşiktir?,NaOH,HCl,Al(OH)₃,H₂SO₄,C,chemistry,True,C
252,Aşağıdaki elementlerden hangisinin elektron ilgisi en yüksektir?,Li,F,Cl,Br,B,chemistry,False,C
253,Türk Medeni Kanunu'na göre erginlik yaşı kaçtır?,16,17,18,19,C,turkish_law,True,C
254,Bir mahkemede davanın açılmasından kararın kesinleşmesine kadar geçen süreye ne ad verilir?,Dava süresi,Yargılama süresi,İtiraz süresi,Temyiz süresi,B,turkish_law,False,D
255,Türk Ceza Kanunu'na göre suç işlediği sırada on iki yaşını doldurmamış çocuklar hakkında ne tür bir işlem uygulanır?,Hapis cezası,Para cezası,Güvenlik tedbiri,Kamu hizmeti,C,turkish_law,True,C
256,Bir hakimin görev yaptığı mahkemede açılan davada taraf olması durumunda ne yapması gerekir?,Davaya bakmaya devam etmesi,Davadan çekilmesi,Davanın reddedilmesi,Davanın ertelenmesi,B,turkish_law,True,B
257,Türk hukukunda bir kişinin ölümünden sonra malvarlığının yasal mirasçılara geçmesini düzenleyen hukuk dalı hangisidir?,İdare Hukuku,Borçlar Hukuku,Miras Hukuku,Ticaret Hukuku,C,turkish_law,True,C
258,Türkiye'de bir kanun teklifinin yasalaşması için TBMM'de kaç kez görüşülmesi gerekir?,1,2,3,4,B,turkish_law,True,B
259,Anayasa Mahkemesi'nin kaç üyesi vardır?,13,15,17,19,B,turkish_law,False,D
260,Bir mahkemede tanıklık yapan kişinin bilerek gerçeğe aykırı beyanda bulunması suçuna ne ad verilir?,İftira,Yalan tanıklık,Suç uydurma,Görevi kötüye kullanma,B,turkish_law,True,B
261,Türk Ceza Kanunu'na göre bir suçun işlenmesinden sonra bu suçun delillerini yok eden kişi hangi suçu işlemiş olur?,Suç delillerini yok etme,Suçluyu kayırma,Suça iştirak,Adil yargılamayı etkilemeye teşebbüs,A,turkish_law,True,A
262,Türk hukukunda kişinin hakkını kendi eliyle araması anlamına gelen ve genellikle yasak olan eylem nedir?,İhkak-ı hak,Hakkın suistimali,Mücbir sebep,Hukuki ehliyet,A,turkish_law,True,A
263,Bir hakimin görevini yerine getirirken tarafsız davranmaması durumunda hangi anayasal ilke ihlal edilmiş olur?,Hukuk devleti ilkesi,Eşitlik ilkesi,Kuvvetler ayrılığı ilkesi,Bağımsız yargı ilkesi,D,turkish_law,True,D
264,Bir ceza davasında sanığın lehine olan delillerin toplanmaması durumunda hangi ceza hukuku ilkesi ihlal edilmiş olur?,Masumiyet karinesi,Şüpheden sanık yararlanır ilkesi,Delillerin serbestliği ilkesi,Silahların eşitliği ilkesi,D,turkish_law,False,A
265,Bilgi felsefesinde bilginin kaynağına ilişkin görüşlerden biri olan empirizm neyi savunur?,Bilginin akıldan geldiğini,Bilginin deneyimden geldiğini,Bilginin doğuştan geldiğini,Bilginin sezgisel olduğunu,B,philosophy,False,X
266,Platon'un idealar dünyası teorisinde ideaların yeri neresidir?,Zihinde,Dünyada,Gözlemlenebilir evrende,Duyuların ötesinde,D,philosophy,True,D
267,Kant'ın 'Saf Aklın Eleştirisi' adlı eserinde hangi konuyu ele aldığı söylenebilir?,Bilimsel yöntem,Ahlaki değerler,Bilgi ve deneyim,Sanat ve estetik,C,philosophy,True,C
268,Sokrates'in 'Bildiğim tek şey hiçbir şey bilmediğimdir' sözü hangi düşünceyi ifade eder?,Bilgiye ulaşmanın imkansızlığını,Cehaletin erdemini,Bilginin sonsuzluğunu,Bilgelik arayışını,D,philosophy,False,A
269,Aristoteles'in 'Altın Orta' anlayışı neyi ifade eder?,Aşırı uçlardan kaçınmayı,Mutluluğun peşinden koşmayı,Bilgiye ulaşmayı,Doğru düşünmeyi,A,philosophy,True,A
270,Nietzsche'nin 'Bengi Dönüş' kavramı neyi ifade eder?,Hayatın anlamsızlığını,Tekrarlanan varoluşu,Özgürlüğün önemini,Güç istemini,B,philosophy,False,D
271,Jean-Paul Sartre'ın varoluşçu felsefesine göre insanın varoluşu neye dayanır?,Tanrının iradesine,Toplumun kurallarına,Kendi özgür seçimlerine,Doğal yasaların belirlediği kadere,C,philosophy,True,C
272,Thomas Hobbes'un 'Leviathan' eserinde devletin ortaya çıkışını nasıl açıklar?,Toplum sözleşmesiyle,Doğal hukukla,Tanrısal iradeyle,Güç kullanımıyla,A,philosophy,True,A
273,Descartes'ın 'Düşünüyorum öyleyse varım' sözü hangi felsefi ilkeyi ifade eder?,Varoluşçuluğu,Rasyonalizmi,Empirizmi,Nihilizmi,B,philosophy,True,B
274,David Hume'un nedensellik anlayışına göre nedensellik ilişkisi nasıl oluşur?,Zihinsel bir alışkanlık olarak,Doğal bir yasa olarak,Tanrısal bir düzen olarak,Duyusal bir izlenim olarak,A,philosophy,False,D
275,Karl Marx'a göre toplumların gelişiminde belirleyici olan faktör nedir?,Din,Kültür,Ekonomi,Politika,C,philosophy,True,C
276,Friedrich Nietzsche'nin 'üstinsan' kavramı neyi ifade eder?,Toplumsal adaleti savunan insanı,Kendi değerlerini yaratan insanı,Bilgi peşinde koşan insanı,Güçlü ve cesur insanı,B,philosophy,True,B
277,Epikürcülüğe göre insanın mutluluğa ulaşmasının yolu nedir?,Bilgi edinmek,Erdemli olmak,Hazza odaklanmak,Acıdan kaçınmak,D,philosophy,False,B
278,Heidegger'in 'Varlık ve Zaman' eserinde hangi temel mesele ele alınır?,Bilginin doğası,Ahlakın temelleri,Varlığın anlamı,Sanatın değeri,C,philosophy,True,C
279,Stoacılığın temel prensibi nedir?,Doğa ile uyum içinde yaşamak,Mutluluğu aramak,Bilgiye ulaşmak,Duygusal olarak güçlü olmak,A,philosophy,True,A
280,Jean-Jacques Rousseau'nun 'Toplum Sözleşmesi' adlı eserinde öne sürdüğü temel düşünce nedir?,İnsanların doğal hallerinde eşit olduğu,Devletin halk için var olduğu,Bireyin özgürlüğünün önemi,Toplumsal adaletin gerekliliği,B,philosophy,False,A
